enterprise,record_num_mf_ctf,state_fips,cbsa_metro_code,county_fips,tract_2020,tract_minority_pct,tract_income_med,ami_local,tract_income_ratio,ami_hud,upb_acq,purpose_ctf,seller_type_mf_ctf,fed_guarantee_ctf,lien_status,ltv,same_year_acq,term_orig,units_num_cat,rate_orig,upb_orig,property_value,term_prepay_penalty,balloon,io,neg_am,non_amort_other,afford_units_pct,construct_method,tract_rural,county_lower_ms_delta,county_mid_appalachia,county_persistent_poverty,area_concentrated_poverty,area_high_opp,tract_colonias
1,10002235,47,34980,037,010901,55.49,82730,96905,0.8537,104700,18715000,1,1,1,1,66.90,1,84,5,5.500,18715000,28005000,81,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10002236,20,48620,173,009301,29.96,69417,84050,0.8259,91200,1845000,9,1,1,2,69.90,1,102,4,7.460,1845000,10805000,99,1,9,9,9,0,1,0,0,0,0,0,1,0
1,10002237,08,24540,123,002107,19.54,128438,102620,1.2516,114500,5675000,7,1,1,1,55.30,1,60,3,5.755,5675000,10265000,57,1,9,9,9,0,1,1,0,0,0,0,0,0
1,10002238,48,99999,323,950701,94.64,90600,58679,1.5440,62300,15505000,1,1,1,1,74.40,1,84,5,5.970,15505000,20825000,81,1,1,9,9,0,1,1,0,0,0,0,0,1
1,10002239,40,36420,109,106601,46.06,73059,84302,0.8666,89100,6115000,7,1,1,1,65.00,2,120,4,5.595,6115000,9415000,117,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10002240,04,38060,013,318800,49.38,55098,93191,0.5912,101300,9355000,7,1,1,1,55.00,1,120,4,6.080,9355000,17005000,117,1,1,9,9,0,1,0,0,0,0,1,0,0
1,10002241,08,19740,035,013904,26.08,101635,119980,0.8471,130400,64325000,1,5,1,1,63.20,1,60,5,5.130,64325000,101725000,57,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10002242,13,42340,051,003900,61.12,71089,87035,0.8168,92400,1545000,7,5,1,1,56.10,1,84,2,6.210,2305000,2755000,81,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10002243,18,26900,097,342200,51.32,57953,93688,0.6186,101200,11855000,7,1,1,1,61.10,1,60,4,5.370,11855000,19405000,57,1,1,9,9,50,1,0,0,0,0,1,0,0
1,10002244,39,17140,061,000700,38.48,141513,97826,1.4466,103700,36925000,2,1,1,1,64.00,1,120,5,5.890,36925000,57705000,117,1,1,9,9,100,1,0,0,0,0,0,0,0
1,10002245,37,16740,159,051303,51.29,68234,93744,0.7279,100300,6015000,7,1,1,1,63.40,2,60,3,5.820,6015000,9495000,57,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10002246,45,22500,041,001200,19.78,108839,70289,1.5485,75500,8215000,7,1,1,1,62.20,1,60,4,6.160,8215000,13205000,57,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10002247,48,19100,113,001703,27.22,195289,99957,1.9537,107300,26855000,2,3,1,1,54.10,1,60,5,4.385,237755000,52805000,57,1,1,9,9,0,1,0,0,0,0,0,1,0
1,10002248,36,35620,061,008900,36.43,192044,113844,1.6869,119300,615000,7,3,1,1,5.60,1,120,1,6.440,615000,14405000,117,1,9,9,9,0,1,0,0,0,0,0,0,0
1,10002249,01,26620,089,010625,86.37,32374,99604,0.3250,113600,13775000,2,1,1,1,60.40,1,120,5,5.315,13775000,22805000,117,1,1,9,9,0,1,0,0,0,0,1,0,0
1,10002250,36,35620,103,169705,40.70,123333,113844,1.0834,119300,23255000,7,1,1,1,62.50,1,120,5,5.170,23255000,37205000,117,1,1,9,9,99,1,0,0,0,0,0,1,0
1,10002251,06,41740,073,005402,32.09,140380,111734,1.2564,119500,32565000,7,1,1,1,56.80,1,120,5,5.650,32565000,57375000,117,1,1,9,9,99,1,0,0,0,0,0,0,0
1,10002252,24,12580,510,250101,90.06,69379,118479,0.5856,122200,6185000,7,1,1,1,54.50,1,120,3,5.260,6185000,11355000,117,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10002253,36,45060,067,011102,35.43,46019,90955,0.5060,94800,4175000,7,1,1,1,74.50,1,84,2,5.390,12075000,5605000,81,1,9,9,9,0,1,0,0,0,0,0,1,0
1,10002254,55,39540,101,001701,43.66,63781,90539,0.7045,97300,52105000,7,1,1,1,62.50,1,120,5,6.250,52105000,83355000,117,1,1,9,9,0,1,0,0,0,0,0,1,0
1,10002255,41,41420,053,020304,30.98,78029,85870,0.9087,91300,1345000,1,1,1,1,66.00,1,60,1,6.860,1345000,2035000,57,1,1,9,9,91,1,1,0,0,0,1,0,0
1,10002256,06,17020,007,000904,24.01,129390,85990,1.5047,96600,18905000,7,1,1,1,60.00,1,120,5,5.410,18905000,31505000,117,1,1,9,9,0,1,1,0,0,0,0,0,0
1,10002257,05,30780,119,002103,58.88,69938,81609,0.8570,86400,10325000,1,1,1,1,80.00,1,120,5,5.560,10325000,12905000,117,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10002258,05,30780,119,004215,31.33,150227,81609,1.8408,86400,12515000,1,1,1,1,65.00,1,60,5,5.570,20605000,19255000,57,1,1,9,9,0,1,0,0,0,0,0,0,0
1,10002259,40,36420,109,108538,35.32,64727,84302,0.7678,89100,12505000,7,1,1,1,59.60,1,120,5,5.620,12505000,20975000,117,1,1,9,9,0,1,0,0,0,0,0,1,0
